id,created_at,text
1050103488284364802,2018-10-10 19:19:16,President Trump delivers a statement on Hurricane Michael:
1050081042428809216,2018-10-10 17:50:04,"b""Watch live: President  realDonaldTrump is signing S. 2553 and S. 2554 \xe2\x80\x93 two important steps in the Presidents plan\xe2\x80\xa6"
1050073726862192641,2018-10-10 17:21:00,"fema: Keep a close eye on your local weather forecasts in the next few days. If you must go outside during a storm, remember: Turn Arou\xe2\x80\xa6"
1050072218754052097,2018-10-10 17:15:01,NHC_Atlantic: Here is the 12 PM CDT position update for #Michael: Eyewall of Michael coming ashore along the coast of the Florida Panha\xe2\x80\xa6
1050058878002565120,2018-10-10 16:22:00,We are with you Florida!
1050056366658899974,2018-10-10 16:12:01,"President  realDonaldTrump has declared a state of emergency in Florida, providing additional federal assistance an\xe2\x80\xa6"
1050051330772004864,2018-10-10 15:52:00,FLSE: #HurricaneMichael will produce life-threatening storm surge. A car will NOT be enough to protect you. #TurnAroundDontDrown http\xe2\x80\xa6
1050049569898291200,2018-10-10 15:45:01,Readygov: Expect extended power outages from #Michael. Get ready:\n\n\xe2\x9d\x84\xef\xb8\x8fTurn your fridge to the coldest setting.\n\xe2\x9a\xa1\xef\xb8\x8fCharge mobile phones &amp;\xe2\x80\xa6
1050014586282364929,2018-10-10 13:26:00,"NWSTallahassee: #Michael is steadily moving towards the coast, landfall is expected later this morning to early this afternoon.  Condit\xe2\x80\xa6"
1050013329178198017,2018-10-10 13:21:00,"fema: As Hurricane #Michael nears land, take shelter &amp; stay safe.\n\n\xf0\x9f\x93\xb1Follow weather updates on your phone or radio.\n\n\xf0\x9f\x94\xb9 In a tornado WARN\xe2\x80\xa6"
1050012321316315136,2018-10-10 13:17:00,"FLOTUS: Please listen to local authorities as Hurricane #Michael approaches, &amp; follow  FEMA for updates &amp; tips to help keep you safe. W\xe2\x80\xa6"
1049805462424702977,2018-10-09 23:35:01,"""The Supreme Court is an institution of law. It is not a partisan or political institution."" \xe2\x80\x94 Justice Brett M. Kav\xe2\x80\xa6"
1049781047725105153,2018-10-09 21:58:00,NHC_Atlantic: Heavy rainfall from #Michael could produce life-threatening flash\nflooding from the Florida Panhandle and Big Bend region\xe2\x80\xa6
1049774757829386241,2018-10-09 21:33:00,"FLGovScott: At my request, President Trump has  approved a federal pre-landfall Emergency Declaration that will provide important resou\xe2\x80\xa6"
1049772993960927234,2018-10-09 21:26:00,"fema: Water levels will rise before Hurricane #Michael makes landfall. If your area is under a storm surge warning, finish your prep to\xe2\x80\xa6"
1049733992298278912,2018-10-09 18:51:01,Supreme Court Justice Brett M. Kavanaugh has received widespread support from leaders across all levels of governme\xe2\x80\xa6
1049726691596230657,2018-10-09 18:22:00,FLOTUS: Thank you Egypt \xf0\x9f\x87\xaa\xf0\x9f\x87\xac \xf0\x9f\x87\xba\xf0\x9f\x87\xb8
1049712596205666304,2018-10-09 17:26:00,"b""  fema: \xe2\x9a\xa0\xef\xb8\x8f If youre told to evacuate for Hurricane #Michael, leave NOW. \xe2\x9a\xa0\xef\xb8\x8f\n\nToday is the last day to travel before storm conditions star\xe2\x80\xa6"""
1049704095018311681,2018-10-09 16:52:13,Last night was a historic night at the White House. See the swearing-in ceremony of our 114th United States Supreme\xe2\x80\xa6
1049700013503381506,2018-10-09 16:36:00,"FLORIDA - It is imperative that you heed the directions of your State and Local Officials. Please be prepared, be care\xe2\x80\xa6"
1049697750877687809,2018-10-09 16:27:00,"...Looks to be a Cat. 3 which is even more intense than Florence. Good news is, the folks in the Pan Handle can take c\xe2\x80\xa6"
1049697497000660992,2018-10-09 16:26:00,"Hurricane on its way to the Florida Pan Handle with major elements arriving tomorrow. Could also hit, in later stage,\xe2\x80\xa6"
1049696820266524673,2018-10-09 16:23:19,"Last night, President Trump participated in the swearing-in ceremony of our 114th Supreme Court Justice, Brett M. K\xe2\x80\xa6"
